"id_data","nomor_sumber","nama_rumah","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","jumlah_garasi","garasi","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr_jumlah_garasi","flag_outlier_iqr"
"RMT0001",1,"Rumah Murah Hook Tebet Timur, Tebet, Jakarta Selatan",3800000000,220,220,3,3,0,"tidak_ada",17272727.27,17272727.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0002",2,"Rumah Modern di Tebet dekat Stasiun, Tebet, Jakarta Selatan",4600000000,137,180,4,3,2,"ada",33576642.34,25555555.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0003",3,"Rumah Mewah 2 Lantai Hanya 3 Menit Ke Tebet, Tebet, Jakarta Selatan",3000000000,250,267,4,4,4,"ada",12000000,11235955.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0004",4,"Rumah Baru Tebet, Tebet, Jakarta Selatan",430000000,25,40,2,2,0,"tidak_ada",17200000,10750000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0005",5,"Rumah Bagus Tebet komp Gudang Peluru lt 350m, Tebet, Jakarta Selatan",9000000000,355,400,6,5,3,"ada",25352112.68,22500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0006",6,"Rumah Mewah Modern Murah 3 lantai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4970000000,154,300,5,3,3,"ada",32272727.27,16566666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0007",7,"Rumah lama di Tebet, dekat MT Haryono dan tol dalam kota, jalan 1 mobil hanya 30M dr jln besar, Tebet, Jakarta Selatan",2600000000,150,120,3,2,1,"ada",17333333.33,21666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0008",8,"RUMAH BAGUS KEREN JALAN LEBAR DI AREA & KAWASAN TERBAIK TEBET, Tebet, Jakarta Selatan",10500000000,247,350,4,4,0,"tidak_ada",42510121.46,30000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0009",9,"Minimalis Baru Jalan 1 Mobil Akses Mudah Dekat ke Jalan Lebar, Tebet, Jakarta Selatan",3250000000,90,125,3,3,0,"tidak_ada",36111111.11,26000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0010",10,"Minimalis Baru Jalan 2 Mobil Tebet Timur, Tebet, Jakarta Selatan",4500000000,96,250,5,4,1,"ada",46875000,18000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0011",11,"Brand New house di Tebet Barat, Tebet, Jakarta Selatan",3600000000,110,154,3,3,3,"ada",32727272.73,23376623.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0012",12,"Rumah Mewah di TEBET, Tebet, Jakarta Selatan",9500000000,240,450,4,4,1,"ada",39583333.33,21111111.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0013",13,"Rumah bagus di tebet, jakarta selatan, Tebet, Jakarta Selatan",10500000000,118,218,3,3,2,"ada",88983050.85,48165137.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0014",14,"#BAWAHNJOP#MURAH#CASHONLY#LELANG# RUMAH ASEM BARIS RAYAI COCOK UNTUK USAHA DEKAT SAAS, Tebet, Jakarta Selatan",12500000000,979,200,4,2,6,"ada",12768130.75,62500000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0015",15,"Rukan Baru Siap Pakai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4600000000,137,180,5,4,2,"ada",33576642.34,25555555.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0016",16,"Rumah bebas banjir di kebon baru tebet, Tebet, Jakarta Selatan",3000000000,144,126,4,2,2,"ada",20833333.33,23809523.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0017",17,"Rumah jalan 2 mobil, Tebet, Jakarta Selatan",6000000000,150,400,5,4,1,"ada",40000000,15000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0018",18,"Rumah standard hitung tanah di tebet dalam jakarta selatan, Tebet, Jakarta Selatan",7500000000,253,150,5,2,2,"ada",29644268.77,50000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0019",19,"RUMAH MEWAH CANTIK DI MENTENG DALAM TEBET JAKARTA SELATAN, Tebet, Jakarta Selatan",18000000000,251,200,5,3,3,"ada",71713147.41,90000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"RMT0020",20,"BRAND NEW 3 LANTAI DENGAN FASILITAS KOLAM RENANG DI TEBET - JAKSEL, Tebet, Jakarta Selatan",9700000000,248,450,5,5,4,"ada",39112903.23,21555555.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0021",21,"Rumah mewah 2 Lantai Murah full furnished bebas banjir di lokasi strategis rasamala tebet jakarta selatan, Tebet, Jakarta Selatan",14000000000,700,300,8,5,2,"ada",20000000,46666666.67,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0022",22,"Rumah di Tebet timur, Tebet, Jakarta Selatan",8000000000,218,315,7,3,2,"ada",36697247.71,25396825.4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0023",23,"Rumah di Tebet, kebon baru, Tebet, Jakarta Selatan",700000000,75,75,2,3,0,"tidak_ada",9333333.33,9333333.33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0024",24,"Rumah di Tebet , kebon baru , jakarta selatan, Tebet, Jakarta Selatan",5500000000,230,350,5,5,3,"ada",23913043.48,15714285.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0025",25,"Rumah 1.5 Lt Di Asem Baris Tebet Jakarta Selatan, Tebet, Jakarta Selatan",11000000000,695,650,9,6,2,"ada",15827338.13,16923076.92,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"RMT0026",26,"Rumah siap huni, Tebet, Jakarta Selatan",4000000000,199,250,8,2,2,"ada",20100502.51,16000000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0027",27,"Rumah Baru, Bagus, di tebet Barat, Jajarta Selatan, Tebet, Jakarta Selatan",3900000000,130,210,3,4,2,"ada",30000000,18571428.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0028",28,"Rumah Minimalis Plus Mini Swimming Pool , Tebet, Tebet, Jakarta Selatan",6500000000,200,300,5,5,4,"ada",32500000,21666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0029",29,"Rumah Bagus Siap Huni, Tebet, Jakarta Selatan",5800000000,200,175,6,4,2,"ada",29000000,33142857.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0030",30,"Rumah Brand New Minimalis Elegan 2 Lantai Lokasi Strategis 5 Menit Ke Stasiun di Tebet, Tebet, Jakarta Selatan",3200000000,110,140,3,3,2,"ada",29090909.09,22857142.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0031",31,"Rumah Daerah Tebet, Tebet, Jakarta Selatan",8800000000,230,400,5,5,2,"ada",38260869.57,22000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0032",32,"Rumah Mewah Furnished Tebet Barat Swimming Poll Akses Patra Kuningan, Tebet, Jakarta Selatan",42000000000,600,900,7,7,1,"ada",70000000,46666666.67,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"RMT0033",33,"Rumah pinggir jalan daerah tebet masuk mobil, Tebet, Jakarta Selatan",1100000000,102,102,2,1,0,"tidak_ada",10784313.73,10784313.73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"RMT0034",34,"Rumah mewah hook siap huni dan terawat di gudang peluru tebet, Tebet, Jakarta Selatan",10900000000,428,646,5,5,2,"ada",25467289.72,16873065.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0035",35,"Rumah tebet, Tebet, Jakarta Selatan",3600000000,200,145,8,8,1,"ada",18000000,24827586.21,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"RMT0036",36,"Rumah baru Minimalis, Tebet, Jakarta Selatan",4000000000,120,220,4,4,3,"ada",33333333.33,18181818.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0037",37,"Rumah mewah murah dalam komplek di tebet, Tebet, Jakarta Selatan",6000000000,222,325,6,5,0,"tidak_ada",27027027.03,18461538.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0038",38,"Rumah Minimalis 3 Lantai lokasi strategis bebas banjir ada mini kolam renang di tebet jakarta selatan, Tebet, Jakarta Selatan",6500000000,200,300,5,5,1,"ada",32500000,21666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0039",39,"Rumah Siap Huni Hadap Timur di Tebet, Tebet, Jakarta Selatan",4500000000,154,250,6,3,1,"ada",29220779.22,18000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0040",40,"Rumah Minimalis di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4500000000,105,247,5,5,1,"ada",42857142.86,18218623.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0041",41,"rumah 2 lantai , jalan depan 1 mobil , SHM , Tebet timur , Jakarta Selatan, Tebet, Jakarta Selatan",4000000000,140,200,4,4,2,"ada",28571428.57,20000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0042",42,"FATHUR TEBET RUMAH BAGUS lt 90m2 LOKASI BAGUS. HUB FATHUR:0818398080, Tebet, Jakarta Selatan",2600000000,90,150,3,2,2,"ada",28888888.89,17333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0043",43,"Rumah tua layak huni, HITUNG TANAH di Tebet Barat, Jakarta Selatan, Tebet, Jakarta Selatan",5500000000,239,210,8,5,1,"ada",23012552.3,26190476.19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0044",44,"Di Juaal Cepat Rumah Mewah Di Menteng Dalam Fully Furnished dan Bangun Kualitas Terbaik hrg 15 M, Tebet, Jakarta Selatan",15000000000,643,339,7,5,5,"ada",23328149.3,44247787.61,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"RMT0045",45,"Rumah 2 Lt bagus dan TERMURAH Akses Jalan 2 Mobil di Tebet Utara, Tebet, jakarta Selatan, Tebet, Jakarta Selatan",3500000000,100,190,5,4,2,"ada",35000000,18421052.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0046",46,"Rumah tebet jakarta selatan, Tebet, Jakarta Selatan",6000000000,240,450,9,9,0,"tidak_ada",25000000,13333333.33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"RMT0047",47,"RUMAH MURAH DI JAKARTA SELATAN, Tebet, Jakarta Selatan",8000000000,232,300,6,5,0,"tidak_ada",34482758.62,26666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0048",48,"Rumah Layak Huni, Tebet, Jakarta Selatan",9500000000,305,352,4,3,0,"tidak_ada",31147540.98,26988636.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0049",49,"Rumah Modern Minimalis 3 Lantai Full Furnished di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4300000000,146,135,6,6,1,"ada",29452054.79,31851851.85,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"RMT0050",50,"TEBET RUMAH MURAH 135m HUB FATHUR: 0818398080-PR 22726, Tebet, Jakarta Selatan",3800000000,135,200,3,4,0,"tidak_ada",28148148.15,19000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0051",51,"Rumah baru & mewah di Tebet Jaksel, Tebet, Jakarta Selatan",41000000000,600,850,7,7,0,"tidak_ada",68333333.33,48235294.12,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"RMT0052",52,"Rumah Tebet Dalam Jakarta Selatan, Tebet, Jakarta Selatan",4000000000,175,190,4,2,1,"ada",22857142.86,21052631.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0053",53,"rumah lama layak huni strategis dekat jalan tebet raya, Tebet, Jakarta Selatan",2500000000,90,120,4,1,1,"ada",27777777.78,20833333.33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"RMT0054",54,"Rumah Huk, Tebet ,SHM+IMB ,menteng dalem , jakarta Selatan, Tebet, Jakarta Selatan",4750000000,196,180,5,5,1,"ada",24234693.88,26388888.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0055",55,"Rumah di tebet, Jakarta Selatan, dekat tol, Tebet, Jakarta Selatan",23000000000,610,750,8,6,4,"ada",37704918.03,30666666.67,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"RMT0056",56,"Rumah Cantik 3 Lt @Brand New Akses Jalan 2 Mobil TERMURAH di Tebet Timur, Tebet, Jakarta Selatan",4400000000,96,250,6,5,2,"ada",45833333.33,17600000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0057",57,"Rumah cantik, minimalis , strategis & murah di Tebet, Tebet, Jakarta Selatan",4500000000,140,220,5,4,2,"ada",32142857.14,20454545.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0058",58,"hunian asri diselatan jakarta, Tebet, Jakarta Selatan",5000000000,180,250,5,3,2,"ada",27777777.78,20000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0059",59,"Rumah Mewah Cantik Asri Siap Huni Di Gudang Peluru Tebet Jakarta Selatan, Tebet, Jakarta Selatan",13000000000,393,200,5,3,1,"ada",33078880.41,65000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0060",60,"Rumah ditebet barat1, Tebet, Jakarta Selatan",4150000000,135,216,5,4,1,"ada",30740740.74,19212962.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0061",61,"Rumah Tebet Barat Dalam XB, Tebet, Jakarta Selatan",3800000000,130,260,6,3,2,"ada",29230769.23,14615384.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0062",62,"Rumah Tercantik dilokasi strategis, Tebet, Jakarta Selatan",18000000000,410,300,5,3,0,"tidak_ada",43902439.02,60000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"RMT0063",63,"Rumah Bagus dan Minimalis Tebet, Tebet, Jakarta Selatan",8100000000,240,245,3,3,2,"ada",33750000,33061224.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0064",64,"Rumah terawat siap huni bagus jalanan dua mobil di Tebet, Tebet, Jakarta Selatan",5250000000,108,147,4,3,2,"ada",48611111.11,35714285.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0065",65,"Rumah Asri Dan Sangat Strateaigis Di Tebet, Tebet, Jakarta Selatan",4500000000,145,120,6,4,2,"ada",31034482.76,37500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0066",66,"Rumah Lokasi Strategis Dekat Jalan Raya di Tebet, Tebet, Jakarta Selatan",6200000000,200,170,8,5,2,"ada",31000000,36470588.24,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0067",67,"rumah tebet, bonus apartemen dan mobil, Tebet, Jakarta Selatan",6500000000,200,250,6,3,2,"ada",32500000,26000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0068",68,"Rumah Baru Murah di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan",3500000000,112,170,4,5,2,"ada",31250000,20588235.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0069",69,"Rumah Terawat Akses One Get One, Tebet, Jakarta Selatan",3199000000,149,150,3,2,0,"tidak_ada",21469798.66,21326666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0070",70,"Rumah Tebet Jalan 2 Mobil Lokasi Strategis, Tebet, Jakarta Selatan",3200000000,130,150,3,2,1,"ada",24615384.62,21333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0071",71,"RUMAH BARU MURAH SIAP HUNI DI TEBET TIMUR JAKRTA - YUNIA , 081282940124, Tebet, Jakarta Selatan",3799000000,130,200,3,3,1,"ada",29223076.92,18995000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0072",72,"Rumah Bagus, Siap Huni, Tebet, Jakarta Selatan",6000000000,198,250,7,4,2,"ada",30303030.3,24000000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"RMT0073",73,"Rumah Second Hook Lokasi Premium Di Tebet - YUNIA 081282940124, Tebet, Jakarta Selatan",9790000000,393,403,5,3,2,"ada",24910941.48,24292803.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0074",74,"rumah tinggal tempati., Tebet, Jakarta Selatan",5500000000,270,170,6,3,1,"ada",20370370.37,32352941.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0075",75,"Rumah Tebet Murah Lokasi Strategis Ramai Jakarta Selatan, Tebet, Jakarta Selatan",3350000000,135,120,4,3,1,"ada",24814814.81,27916666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0076",76,"rumah dua lantai kebon baru TEBET JAKARTA SELATAN, Tebet, Jakarta Selatan",750000000,80,78,3,2,0,"tidak_ada",9375000,9615384.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
